LLM,Repositorio,Arquivo,Status,CodigoSaida,TestesAprovados,SHA256Entrada,Evidencia
Gemini,TakeNote,TakeNote_FolderOption.tsx,PASS,0,101,b09568605c2cb25597444fb59796ec472bdfcc8586ee2976ebddafcf6b10b228,Suíte concluída sem falhas
Gemini,TakeNote,TakeNote_PreviewEditor.tsx,PASS,0,101,7279b2d6cf5af20ad66b661ac0f0c08d5df5f53ab77e683457c4e5b5e0f0a7c1,Suíte concluída sem falhas
Gemini,TakeNote,TakeNote_App.tsx,PASS,0,101,7bbbc16e4c6ed284142fc947eb01c60bb690eb9f36f909b74ae2e9eb40d786ab,Suíte concluída sem falhas
Gemini,ReactAdmin,ReactAdmin_Dashboard.js,PASS,0,4,0267c12001aaf29b4eb9006c27d77a63ffd74b3b5462b0d430d1e40e2328b8bf,Suíte concluída sem falhas
Gemini,ReactAdmin,ReactAdmin_AddUser.js,PASS,0,4,132cb2a0d1ace5b74d08208d1d5a74da2e2ac0fa225af4fb1c8c867bd140096b,Suíte concluída sem falhas
Gemini,ReactAdmin,ReactAdmin_Ecommerce.js,PASS,0,4,28655819582c191d3d2d0f2e95afceca61f4087e8f128ce45d994a006031cdcd,Suíte concluída sem falhas
Gemini,ReactAdmin,ReactAdmin_UserList.js,PASS,0,4,b982d82ade83b38473c92175053ac1c66599841cfbf4701c9047932f408877f1,Suíte concluída sem falhas
Gemini,ReactAdmin,ReactAdmin_Products.js,PASS,0,4,73fbcef533d600819e7aa2d249c8c7c1e11b85deaaff4e4ceb7dcbf2d36c1dd5,Suíte concluída sem falhas
DeepSeek,TakeNote,TakeNote_SettingsModal.tsx,PASS,0,101,6c145bcadd87d4f72e5aaa2a74932289e681f51f4d01867aa802c2bc526edfaa,Suíte concluída sem falhas
DeepSeek,TakeNote,TakeNote_NoteList.tsx,PASS,0,101,1ed9d2b1c17fd0812a3cc6d8307e5b07a7e19887b2a47d4e131fda3c1980fee8,Suíte concluída sem falhas
DeepSeek,TakeNote,TakeNote_ContextMenuOptions.tsx,PASS,0,101,c4a3ca57993ab02ed89cafef5af1a050eed90bd862238c50e796ea209d1d2ef6,Suíte concluída sem falhas
DeepSeek,TakeNote,TakeNote_CategoryList.tsx,PASS,0,101,d80550c3fa606660c243e5329fcc64b225c026a7698c3b6628c60873d64f8bfb,Suíte concluída sem falhas
DeepSeek,TakeNote,TakeNote_NoteMenuBar.tsx,PASS,0,101,8647f8882edfb4f286da22ce47d5edb1bf5f824317f31c97e0f58ef7520e57fe,Suíte concluída sem falhas
DeepSeek,TakeNote,TakeNote_CategoryOption.tsx,PASS,0,101,bc32246ae50cbe5036a9be757b200a2ccaf4ae337777dd3af0c197b1db19e794,Suíte concluída sem falhas
DeepSeek,TakeNote,TakeNote_LandingPage.tsx,PASS,0,101,446c3c330e70d6c6caa809acdafc994018860a1dffa6ca3e188eb291c5febcb9,Suíte concluída sem falhas
DeepSeek,TakeNote,TakeNote_ContextMenu.tsx,PASS,0,101,6802b8744245b94578c3959b0e9c774d6650e0a0e27ea2441132f00bea9db9d0,Suíte concluída sem falhas
DeepSeek,TakeNote,TakeNote_KeyboardShortcuts.tsx,PASS,0,101,b33ae4d882c3f23124cc6a65e9c1e836d7156adc35cd72eee5554a408d969a85,Suíte concluída sem falhas
DeepSeek,TakeNote,TakeNote_TakeNoteApp.tsx,PASS,0,101,f9017e24107a10518639e7bdbdb47ac9c8d4aa2e068068ef859dbf3e6a320348,Suíte concluída sem falhas
DeepSeek,TakeNote,TakeNote_AppSidebar.tsx,PASS,0,101,46b4ba3a13447f75dd0a8156e9ea54cf62808785685a24cfb9b7373d14310ff6,Suíte concluída sem falhas
DeepSeek,TakeNote,TakeNote_NoteEditor.tsx,PASS,0,101,c6c9be353d6d769088c350e27fa05ac9e409809374f780ab552df97a7fe846c5,Suíte concluída sem falhas
DeepSeek,TakeNote,TakeNote_FolderOption.tsx,PASS,0,101,2dc00d5b58f98c9f633d4b99f7b3408a8f8c4c823be68fcc2d33ec25ff12b89e,Suíte concluída sem falhas
DeepSeek,TakeNote,TakeNote_PreviewEditor.tsx,PASS,0,101,2706f2e2b6a22ca23976ded47118f606fb5be103cea033a98b168a9e334c6ddb,Suíte concluída sem falhas
DeepSeek,TakeNote,TakeNote_App.tsx,PASS,0,101,eea7037bed57d154484b4372a44ae40bfbd7a60aead43e4aebb74d3485343d18,Suíte concluída sem falhas
DeepSeek,ReactAdmin,ReactAdmin_Dashboard.js,PASS,0,4,d1fff92074a9254aeb20768f6cba62232b00d86e2f72fe8492ffd15ea8ef7c56,Suíte concluída sem falhas
DeepSeek,ReactAdmin,ReactAdmin_AddUser.js,PASS,0,4,691c48de8ea68b18b4b074de705b93baef3932e8f5036596005067ac90e91e82,Suíte concluída sem falhas
DeepSeek,ReactAdmin,ReactAdmin_Ecommerce.js,PASS,0,4,1401b6939518c3ebd0a816123ff81cac715769fbcc6f44b213e20411b4aa5cb1,Suíte concluída sem falhas
DeepSeek,ReactAdmin,ReactAdmin_UserList.js,PASS,0,4,8377050e0cb7276055b5e7934c44755202a84dd9200ea3afad2e938b06d92059,Suíte concluída sem falhas
DeepSeek,ReactAdmin,ReactAdmin_Products.js,PASS,0,4,b9fe8cf3dd61ec2cfe4b1236ba7237792464c1c9c92a306b22ba19ba86a4e654,Suíte concluída sem falhas
Mistral,TakeNote,TakeNote_SettingsModal.tsx,PASS,0,101,2125cb8e792945adcde2d87e3e45d46387a0e5a35c21fc32b25ee659cea3fd29,Suíte concluída sem falhas
Mistral,TakeNote,TakeNote_NoteList.tsx,PASS,0,101,ce45263ba835c0f9d02dac997353e2683ad71ecc18a3cb759fd803fc57ea5c0e,Suíte concluída sem falhas
Mistral,TakeNote,TakeNote_ContextMenuOptions.tsx,PASS,0,101,73d086aac992e6d953eb7660621315c7be8a40e68b54d626b6952cdfcb325160,Suíte concluída sem falhas
Mistral,TakeNote,TakeNote_CategoryList.tsx,PASS,0,101,413c7b25c9946b8a8fa83b25bb9e6ba2806038f5b3b79143e4b497481058cd2f,Suíte concluída sem falhas
Mistral,TakeNote,TakeNote_NoteMenuBar.tsx,PASS,0,101,63a1889197aaf4c6d2c50639c3cf767bf8fdc3211ffc912d69e76c3e67aac8f0,Suíte concluída sem falhas
Mistral,TakeNote,TakeNote_CategoryOption.tsx,PASS,0,101,3ed0a58047862171768bf8077dde878ca99910493447e0f47ea2b54a0f7c6139,Suíte concluída sem falhas
Mistral,TakeNote,TakeNote_LandingPage.tsx,PASS,0,101,296368abb39f359f535e792081999bad4f1d600b76a70ea6fa0ba75af39ed836,Suíte concluída sem falhas
Mistral,TakeNote,TakeNote_ContextMenu.tsx,PASS,0,101,681ee212e82a64fb6d15ea7cc8d4e48dcb1c9fd1dae0bea406689ed4aa24a6d9,Suíte concluída sem falhas
Mistral,TakeNote,TakeNote_KeyboardShortcuts.tsx,PASS,0,101,dd28526e5dc66984d9952325bbb6d808d62d413142f72b7bd5656d5a2e4ee3bc,Suíte concluída sem falhas
Mistral,TakeNote,TakeNote_TakeNoteApp.tsx,FAIL,1,100,86d9c88d30a33aae2aadce5cc1f8bfc03a6dbb2b310215406939efb9f184fba7,FAIL tests/unit/client/containers/TakeNoteApp.test.tsx (8.505 s)
Mistral,TakeNote,TakeNote_AppSidebar.tsx,PASS,0,101,a2feaabb4c28e90f0f0efbb5184d3bb4c15321662106aa974134f4afd2284e50,Suíte concluída sem falhas
Mistral,TakeNote,TakeNote_NoteEditor.tsx,PASS,0,101,33241f22d7f500d9a8f2df2dca0a8ada361a464e2f85402707ec81500fb1e487,Suíte concluída sem falhas
Mistral,TakeNote,TakeNote_FolderOption.tsx,PASS,0,101,af9d7be94f920be66d3e378b6a894d0a6db0e679bc7d6ec9a1682fcc4ec535b4,Suíte concluída sem falhas
Mistral,TakeNote,TakeNote_PreviewEditor.tsx,PASS,0,101,d6d16e09fe97a84dbb6c115b5eda36f22f5d063e0650d07660d1f1d71b758d91,Suíte concluída sem falhas
Mistral,TakeNote,TakeNote_App.tsx,PASS,0,101,f5024117d3eca45d3a90aac1892d28c1f04c382e5ac339fde95b6f019d356446,Suíte concluída sem falhas
Mistral,ReactAdmin,ReactAdmin_Dashboard.js,FAIL,1,,192ca85bec58bc76dadca3471a7405f085b025c7a91cdadfa1eefa23099f69e7,Test Files  1 failed | 2 passed (3)
Mistral,ReactAdmin,ReactAdmin_AddUser.js,PASS,0,4,3d955afc8f59336b81c452b3bed4443b8990e932dd9d0110f3eb3eed2f1be1f4,Suíte concluída sem falhas
Mistral,ReactAdmin,ReactAdmin_Ecommerce.js,PASS,0,4,ed89e979362397f087f84aaace5d94777a51fa0fc31abbfc4fd0ff12990a1ec1,Suíte concluída sem falhas
Mistral,ReactAdmin,ReactAdmin_UserList.js,PASS,0,4,e39aac5d00862ebaee7bab2f77034d32d80f8b5b94b63d5666cad533ca210f40,Suíte concluída sem falhas
Mistral,ReactAdmin,ReactAdmin_Products.js,PASS,0,4,183203091df102fa9c0261767dface51f442a65cd38d3412d2c9a34c523efcda,Suíte concluída sem falhas
